Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,KMeans_Cluster,HC_Cluster,DBSCAN_Cluster,Cluster_Name
Bhutan,0.02281467776617134,7.407691053762908,3.826967755931065,9.209524654753949,20.761025230525288,0.049083161534551834,4.2809305178025125,0.04276472158801052,0.06693948267510934,0.13553899143338344,4.183810190030142,4.1791098288498105,0.3198513553851726,0.2901405862899882,0.4832804850502082,0.0410681180755217,13.399321577204306,0.27249033709786086,17.426428497635523,19.275423355043074,0,0,-1,Low Developed
Bolivia,0.02791443383155585,9.402409141763469,3.84522552450463,8.674104891282099,23.3516595286687,0.05383237588249109,4.366522448137917,0.04202742154723714,0.10919929196499198,0.14782300997600256,4.222895624848043,4.1588830833596715,0.325422400434628,0.32001893910759927,0.4561094740384631,0.04386965337881695,16.067332515606772,0.49848829244646725,19.523642537487436,19.527973202756268,0,0,-1,Low Developed
Bosnia and Herzegovina,0.008731004379890937,10.063612657582583,3.9717422401297684,8.697268637848273,23.248600956757134,0.08299691957096791,5.685148395111308,0.006975613736425242,0.2384110234449982,0.10109759616021544,4.3684736682691785,4.30406509320417,0.41058020877493484,0.169937497594233,0.5192057964423511,0.12581903640614595,15.167597120254358,0.3310730719434423,20.171751758487982,19.093625222296833,1,0,-1,Moderately Developed
Botswana,0.02499275516034438,8.553139318189707,4.28411692517192,7.988386357489384,23.017970695405182,0.050619990846508166,5.631487453773491,0.04423769283680075,0.04512043528046959,0.13768621093917444,3.9347542565899114,3.8910311108491924,0.4937577152538427,0.3051063080044523,0.47671184798085403,0.032094792263313625,14.451980584425833,0.4398417605808003,19.476064301550245,19.038358084075863,0,1,-1,Low Developed
Brazil,0.01746203201870631,12.613323338020468,4.423676477876443,11.567786713296986,27.863286112455338,0.07788653865707122,6.3276620207105685,0.019727209671044982,0.2262157503511799,0.21192030582748647,4.340803918849927,4.239665162601087,0.4795730802618863,0.24004604969715246,0.5101022852967091,0.06131216820766586,19.0490685002082,0.6048202532987114,22.213400327979016,23.089085717064414,3,3,-1,Developing
Brunei Darussalam,0.018972720424449363,8.894522586774603,4.2809305178025125,8.217230896533428,23.072921863218227,0.026342283030477687,6.563747025474136,0.007815532848147873,0.3142490998365027,0.05354076692802982,4.383947864851776,4.335781306583636,0.5661875530986573,0.24902120255701374,0.5213546142768413,0.03239272165625176,12.831078720868145,0.5529120493255176,19.655928579644346,19.894739405963406,1,0,-1,Moderately Developed
Bulgaria,0.009569451016150707,10.62268852018129,3.35394449681161,9.841865799133805,24.258382704807662,0.06952606264861023,5.785953094233274,0.013599415030091414,0.2564295289476765,0.09545003016466748,4.347793463031639,4.255067007212594,0.6499184460091252,0.13055581613837836,0.5212175935636625,0.16244584990444957,15.85207199909251,0.5360434267499471,21.88019541217637,21.20431401980455,2,0,-1,Highly Developed
Burkina Faso,0.043206840820029874,7.791967729699273,3.243193132518907,9.57073837671504,22.574346633992175,0.06297479916138844,3.3725868476208896,0.07881118042428978,0.0,0.11332868530700319,4.005933604878048,3.9760806417283665,0.15634607039069398,0.38075198248688924,0.4126698606655273,0.025367806734331543,16.447805469488927,0.2024383629861806,18.85146366654482,18.695978764797882,0,1,-1,Low Developed
Burundi,0.042912116385241034,7.310138720552893,2.810329050222628,9.57073837671504,21.061133664552067,0.08094171173228698,2.655406467616788,0.0705301508058379,0.0,0.1506721091369914,3.973190466306133,3.918157993995662,0.05971923470162228,0.3757986077596947,0.4167854064486006,0.026417203427590838,15.910611985300942,0.09215836490309857,15.77149986679251,17.836732873288447,0,1,-1,Low Developed
Cambodia,0.025967596825786934,8.250840985670886,4.388734853409,8.466968152151884,22.79305133470701,0.058776761727955214,3.5487328223706944,0.05098555473286767,0.0,0.11332868530700319,4.267004208104319,4.184981836327033,0.26826398659467937,0.3026654133120117,0.47077256430861275,0.04416409578064977,16.42142869585888,0.17660009218107703,20.739593354076373,18.922853662183634,0,1,-1,Low Developed
Cameroon,0.03907277321662565,8.560930317424278,3.501158732642211,8.889340132023735,23.615872845985837,0.04783732941416013,3.855045570685606,0.07367930886216825,0.015267472130788436,0.14622927831520427,4.001723072341704,3.9659282702643486,0.2013697517646491,0.365657556131992,0.422397859558014,0.032467190137501496,16.74356095881323,0.3994470357826014,19.269844997697252,19.83951676056582,0,1,-1,Low Developed
Canada,0.010939940038334362,13.03127623723331,2.3287837930634687,11.567786713296986,27.850542045013842,0.09670780407096283,8.249675671707946,0.004987541511039074,0.5306282510621704,0.04364876466901333,4.427147069954351,4.3694478524670215,0.45058554338863394,0.16152997910904052,0.5251380945736,0.12609031480726704,17.301783537366187,0.5897505471880998,23.502548451233203,24.000773348866556,2,2,-1,Highly Developed
Cayman Islands,0.017764352329375635,7.473025380783343,3.295836866004329,9.57073837671504,23.436618790804065,0.05921185963184608,5.267858159063328,0.019802627296179712,0.3309625808102433,0.11332868530700319,4.330733340286331,4.248495242049359,0.8362480242006186,0.2619795750994079,0.4962194713766286,0.050693114315518116,10.819895200652237,0.6931471805599453,20.066302219609987,19.547606352824843,1,0,-1,Moderately Developed
Central African Republic,0.03610936906248852,7.322815234609355,3.1812538330786166,9.57073837671504,21.158445261566108,0.04010789345692531,2.7916369172104756,0.10248716075537627,0.0,0.14622927831520427,3.9347542565899114,3.8910311108491924,0.08122543992258587,0.34691205705530725,0.43577045760349337,0.03877682766844611,15.215090295584854,0.32419943068967083,18.53332238904304,18.488339401771974,0,1,-1,Low Developed
Chad,0.04783732941416013,7.389183779743483,4.014301854548564,9.57073837671504,22.660874328997973,0.046443089599238166,3.1487834480478325,0.0944706666726065,0.0,0.14622927831520427,3.9347542565899114,3.8910311108491924,0.09531017980432487,0.39893098664327215,0.3943782341986544,0.025967596825786938,16.152681750329037,0.1975258956187465,20.09662639306693,19.71688206428091,0,1,-1,Low Developed
Chile,0.014964395904798254,10.903884676784198,3.19710202531864,10.267679175328517,25.72891806376529,0.06808989982815886,6.433928967974274,0.007968169649176874,0.30294954458256934,0.08384611642335878,4.410464569994415,4.335781306583636,0.570544858467613,0.21833199431698772,0.514480475114021,0.0800190387543765,16.618102494508904,0.6293058522244169,21.39711257229795,21.133897065491244,2,2,-1,Highly Developed
China,0.012232568435634406,15.011226578013241,3.635559816581153,11.567786713296986,28.91638034578713,0.046883585898850416,4.890927330030288,0.019500922662725052,0.15634607039069398,0.05696181331875138,4.335781306583636,4.300941717421901,0.3309625808102433,0.18769172696854847,0.539771841104284,0.07503611272654391,20.99273145499863,0.3635741663990042,24.289095042605283,24.3638954014613,3,3,-1,Developing
Colombia,0.020782539182528502,10.893481889104217,3.4729215624606007,10.201475947304848,25.980455341964067,0.0602987768795354,5.6145308278973545,0.017764352329375635,0.18232155679395465,0.1380212978973747,4.347793463031639,4.2462950211397565,0.45058554338863394,0.26531847636492256,0.4970387118695196,0.0510586514764403,17.595811564036943,0.5531332833699147,21.433988430843776,21.410820485835863,3,0,-1,Developing
Comoros,0.03751808106560819,7.2485040723706105,3.200241745323308,9.20423716988572,19.85029486367331,0.038924811390506776,3.3239286008713442,0.06564367945585523,0.022814677766171347,0.1045678939238896,4.1221592504049775,4.0749264763649995,0.2013697517646491,0.34886762289118706,0.43994085387722,0.029484116853705812,13.336033520427415,0.24643931634686117,18.14573771044257,18.825119691378728,0,1,-1,Low Developed
"Congo, Dem. Rep.",0.04453202690809416,8.063402042186105,4.423676477876443,9.90127741968313,23.488088350324485,0.05652573510848304,2.4720032449520923,0.09740588437854374,0.0,0.21192030582748647,3.9347542565899114,3.8910311108491924,0.10227884912041818,0.3781729658201569,0.4134841515141248,0.027615167032973367,17.8381563121068,0.3219720102342746,19.41199331970082,19.3642872903657,0,1,-1,Low Developed
"Congo, Rep.",0.03811062978304216,7.795139918630135,4.420692460177672,7.690030991237396,22.77299711824742,0.024242229757356765,3.9257741770409704,0.055725764155672305,0.022814677766171347,0.14622927831520427,4.047091677371555,4.000315612573824,0.3309625808102433,0.3517397087520014,0.4341771491604698,0.03432710214187732,15.120135514055606,0.4788585393240174,19.46535116313721,19.325210279616712,0,1,-1,Low Developed
Costa Rica,0.017159620282826346,8.902172977706877,4.089203162721682,8.459678152907298,23.976159389228297,0.08172177063082854,6.2459576786382005,0.009340853461149053,0.2384110234449982,0.18915711539935853,4.406719247264253,4.3487879931981475,0.3309625808102433,0.24240304471453564,0.5099637139668955,0.058776761727955214,15.293209825884185,0.5114408191099087,21.362931095528275,20.106509736407663,1,0,-1,Moderately Developed
Cote d'Ivoire,0.03625774802262424,8.867156431406677,3.6984489051300873,9.135268621928246,23.61075148260139,0.059356850207712676,4.144354982796762,0.08299691957096791,0.0,0.11332868530700319,3.9347542565899114,3.8910311108491924,0.3198513553851726,0.35109014718320575,0.43790747603475033,0.029484116853705812,16.694509258925137,0.38975256653446233,19.086140452313074,20.047202661409774,0,1,-1,Low Developed
Croatia,0.009493257637318463,9.912565454190254,3.118630409877145,9.113151505467675,24.569455258790533,0.0689518450043512,6.647688373563329,0.005599677118186266,0.3086152821182467,0.10186209562407579,4.382026634673881,4.292564705083854,0.6089291014759282,0.14795570636685543,0.5133762143963077,0.1568722477245913,15.299429900185018,0.4490647797704666,22.733161469760855,20.580549535898218,2,0,-1,Highly Developed
Cuba,0.011092100720307797,10.123555610133383,3.295836866004329,9.36438115565519,24.545969375940903,0.08108358589014711,5.999127419853552,0.0055231806561103335,0.10227884912041818,0.11332868530700319,4.394449154672439,4.343805421853684,0.03030534949532895,0.17447030338673064,0.5283178919289861,0.10726639063145728,16.23659035810279,0.566274885529611,21.520565111459,19.93800336967164,1,0,-1,Moderately Developed
Curacao,0.016327516146157215,9.051344640485725,3.295836866004329,9.57073837671504,23.436618790804065,0.05921185963184608,5.267858159063328,0.019802627296179712,0.09531017980432487,0.11332868530700319,4.353745861558934,4.265924877184642,0.570544858467613,0.19373058459199521,0.5094554547437559,0.11497567991482519,11.848842052741713,0.6438761315531626,19.646038636171404,19.39524038772408,1,0,-1,Moderately Developed
Cyprus,0.012156577706466793,8.955577146281511,2.9995710498611565,8.083684670744917,23.620359842845726,0.06412978376967923,7.338688183825716,0.003992021269537453,0.325422400434628,0.08667157567395775,4.405780720681989,4.352756252373768,0.5396373210045363,0.17891833650606698,0.5275011949688914,0.10408277661994414,13.857644847971105,0.5193888544264784,21.66609363359911,20.881846252288824,1,0,-1,Moderately Developed
Czech Republic,0.010026489415331241,11.540048891843158,3.2986818181365605,10.68746636770288,25.709719326336476,0.06765864847381481,6.914730892718563,0.0042218446895554325,0.36890751237436675,0.059356850207712676,4.389689507419451,4.309249137991758,0.7271769291462566,0.13902588559864348,0.5336102258919246,0.1360762287037089,16.14928469197281,0.5512290691683214,22.53767706356457,21.863536693506596,2,2,-1,Highly Developed
Denmark,0.011624480852287367,10.669111017628431,2.465488563930899,9.852902509303798,26.293236454836755,0.09593935246306118,8.499358165583631,0.003915401723853876,0.5748832600662112,0.10463717718854475,4.399186254956708,4.343805421853684,0.7121953755306398,0.16883356553628026,0.5062613772683597,0.1458304482115395,15.512030838457822,0.6209899671603991,22.411429614250277,22.760080872468578,2,2,-1,Highly Developed
Djibouti,0.02851269888080907,7.4414557290812775,3.5195500556136343,9.207359009050174,20.5784894530938,0.06995650960267023,4.347793463031639,0.06701142253341884,0.022814677766171347,0.1073354871939308,4.114649828382847,4.064413895975912,0.08829260714567834,0.31413673397313374,0.4678860040439565,0.03373230658530821,13.57852598706612,0.5699359774850302,16.223840798020618,16.641913492243475,0,0,-1,Low Developed
